lon,lat,sol,win
122.72,41.52,4.24,4.34
123.35,42.75,4.17,4.66
123.4,42.5,4.17,4.66
122.82,42,4.22,4.61
121.62,38.92,4.56,6.1
121.63,38.92,4.56,6.1
121.6,38.92,4.56,6.1
121.58,38.9,4.56,6.1
121.57,38.95,4.56,6.1
121.27,38.82,4.56,6.1
121.7,39.1,4.41,4.88
122.58,39.27,4.16,4.49
122,39.62,4.16,4.49
121.95,39.4,4.41,4.88
122.98,39.7,4.16,4.49
122.98,41.1,4.24,4.34
122.98,41.1,4.24,4.34
122.95,41.12,4.24,4.34
123.35,41.8,4.17,4.39
123,41.15,4.17,4.39
122.97,41.07,4.24,4.34
122.42,41.38,4.24,4.34
123.28,40.28,4.11,4.14
122.7,40.88,4.28,3.94
123.98,41.88,4.17,4.39
123.88,41.87,4.17,4.39
124.02,41.85,4.04,4.44
123.78,41.85,4.17,4.39
123.93,41.88,4.17,4.39
123.9,41.88,4.17,4.39
125.03,41.73,3.97,4.41
124.92,42.1,4.08,4.71
123.77,41.3,4.17,4.39
123.77,41.3,4.17,4.39
123.77,41.33,4.17,4.39
123.82,41.3,4.17,4.39
123.73,41.1,4.17,4.39
124.12,41.3,4.04,4.44
125.35,41.27,3.97,4.41
124.38,40.13,3.96,4.33
124.38,40.13,3.96,4.33
124.35,40.08,3.96,4.33
124.42,40.17,3.96,4.33
124.78,40.73,3.96,4.33
124.15,39.87,4.17,4.77
124.07,40.45,3.96,4.33
121.13,41.1,4.31,5.03
121.12,41.13,4.31,5.03
121.15,41.12,4.31,5.03
121.1,41.1,4.31,5.03
122.12,41.7,4.24,4.34
121.23,41.53,4.31,5.03
121.35,41.17,4.31,5.03
122.23,40.67,4.28,3.94
122.27,40.68,4.28,3.94
122.22,40.67,4.28,3.94
122.12,40.27,4.28,3.94
122.37,40.67,4.28,3.94
122.35,40.4,4.28,3.94
122.5,40.65,4.28,3.94
121.67,42.02,4.19,5.11
121.65,42.02,4.19,5.11
121.67,42.02,4.19,5.11
121.42,41.75,4.31,5.03
121.68,42.03,4.19,5.11
121.75,42.07,4.19,5.11
122.53,42.38,4.22,4.61
123.17,41.27,4.17,4.39
123.17,41.27,4.17,4.39
123.18,41.27,4.17,4.39
123.2,41.2,4.17,4.39
123.45,41.13,4.17,4.39
123.18,41.25,4.17,4.39
123.07,41.22,4.17,4.39
123.33,41.42,4.17,4.39
122.07,41.12,4.24,4.34
122.05,41.2,4.24,4.34
122.07,41.12,4.24,4.34
122.07,40.98,4.28,3.94
122.02,41.25,4.24,4.34
123.83,42.28,4.17,4.66
123.85,42.28,4.17,4.66
124.15,42.53,4.08,4.71
123.83,42.3,4.17,4.66
124.72,42.73,4.08,4.71
124.1,42.78,4.08,4.71
123.55,42.47,4.17,4.66
124.03,42.55,4.08,4.71
120.45,41.57,4.38,5.73
120.45,41.57,4.38,5.73
120.43,41.6,4.38,5.73
120.47,41.58,4.38,5.73
119.63,41.4,4.43,6.09
120.77,41.8,4.38,5.73
119.4,41.25,4.43,6.09
120.83,40.72,4.31,5.1
120.87,40.77,4.31,5.1
120.93,40.72,4.31,5.1
120.75,41.1,4.38,5.73
120.33,40.32,4.31,5.1
119.8,40.82,4.39,5.2
120.72,40.62,4.31,5.1
125.32,43.9,4.05,4.98
125.33,43.87,4.05,4.98
125.32,43.92,4.05,4.98
125.28,43.83,4.05,4.98
125.37,43.87,4.05,4.98
125.25,43.88,4.05,4.98
125.67,43.52,4.05,4.98
125.18,44.43,4.07,5.21
125.83,44.15,4.07,5.21
126.55,44.82,4,4.48
125.7,44.53,4.07,5.21
126.55,43.83,3.97,4.41
126.57,43.88,3.97,4.41
126.57,43.92,3.97,4.41
126.53,43.83,3.97,4.41
126.57,43.82,3.97,4.41
126.5,43.67,3.97,4.41
127.33,43.72,3.91,3.84
126.73,42.97,4,4.29
126.95,44.42,4,4.48
126.05,42.95,4,4.29
124.35,43.17,4.13,5.16
124.35,43.15,4.13,5.16
124.38,43.17,4.13,5.16
124.33,43.32,4.13,5.16
125.3,43.35,4.05,4.98
124.82,43.5,4.13,5.16
123.5,43.52,4.23,4.96
125.13,42.88,4.02,4.59
125.12,42.9,4.02,4.59
125.15,42.92,4.02,4.59
125.53,42.68,4.02,4.59
125,42.92,4.02,4.59
125.93,41.73,3.97,4.41
125.95,41.73,3.97,4.41
126.03,41.77,3.93,4.31
125.75,41.68,3.97,4.41
126.03,42.68,4,4.29
125.73,42.28,4.02,4.59
125.68,42.53,4.02,4.59
126.18,41.12,3.93,4.31
126.42,41.93,3.93,4.31
126.4,41.93,3.93,4.31
127.28,42.33,3.96,3.99
126.8,42.4,4,4.29
128.2,41.42,4.02,4.75
126.9,41.8,3.93,4.31
124.82,45.13,4.06,5.62
124.8,45.17,4.06,5.62
123.98,44.28,4.22,5.24
124.02,45.02,4.06,5.62
126.02,44.98,4,4.48
122.83,45.62,4.17,5.41
122.85,45.62,4.17,5.41
123.2,45.85,4.17,5.52
123.08,44.82,4.22,5.24
122.78,45.33,4.17,5.41
124.28,45.5,4.06,5.62
129.5,42.88,3.89,4.61
129.5,42.88,3.89,4.61
129.83,42.97,3.89,4.61
128.23,43.37,3.87,4
130.37,42.87,3.81,5.21
129.42,42.77,3.89,4.61
129,42.53,3.89,4.61
129.75,43.32,3.87,4.17
128.9,43.12,3.87,4
126.53,45.8,3.96,4.5
126.62,45.77,3.96,4.5
126.68,45.77,3.96,4.5
126.65,45.78,3.96,4.5
126.68,45.72,3.96,4.5
126.62,45.62,3.96,4.5
126.55,45.8,3.96,4.5
126.58,45.9,3.96,4.5
129.55,46.32,3.79,5.1
128.83,45.83,3.82,4.45
127.48,45.75,3.96,3.72
127.4,46.08,3.94,3.68
128.03,45.95,3.82,4.45
128.75,45.97,3.82,4.45
128.33,45.45,3.82,4.45
126.32,45.37,3.96,4.5
127.95,45.22,3.96,3.72
127.15,44.92,3.91,3.75
123.95,47.33,3.94,4.91
123.95,47.32,3.94,4.91
123.95,47.35,3.94,4.91
123.98,47.35,3.94,4.91
123.8,47.15,3.94,4.91
123.62,47.2,3.94,4.91
123.18,47.33,3.94,4.91
125.3,47.88,3.98,5.39
123.42,46.4,4.07,5.41
123.5,47.92,3.94,4.91
124.47,47.82,3.98,5.52
125.87,48.03,3.84,5.11
126.25,48.03,3.75,4.68
126.08,47.6,3.87,4.51
124.87,48.48,3.84,5.04
130.97,45.3,3.84,5.21
130.97,45.3,3.84,5.21
130.93,45.2,3.84,5.21
130.78,45.37,3.84,5.21
130.68,45.08,3.84,5.21
131,45.33,3.84,4.56
130.52,45.2,3.84,5.21
131.13,45.25,3.84,4.56
132.98,45.77,3.81,3.9
131.87,45.55,3.84,4.56
130.27,47.33,3.71,4.13
130.28,47.33,3.71,4.13
130.33,46.8,3.81,5.11
130.25,47.32,3.71,4.13
130.28,47.3,3.71,4.13
130.22,47.27,3.71,4.13
130.32,47.33,3.71,4.13
130.3,47.37,3.71,4.13
130.83,47.58,3.71,4.13
131.85,47.28,3.71,3.88
131.15,46.63,3.81,4.4
131.17,46.63,3.81,4.4
131.13,46.57,3.81,4.4
131.33,46.58,3.81,4.4
131.4,46.57,3.81,4.4
131.13,46.72,3.81,4.4
131.8,46.78,3.81,4.4
132.2,46.32,3.79,3.7
134.02,46.8,3.7,3.79
125.03,46.58,4.05,5.34
125.02,46.6,4.05,5.34
125.1,46.53,4.05,5.34
124.85,46.65,4.05,5.64
124.88,46.4,4.05,5.64
124.82,46.03,4.05,5.64
125.27,45.7,4.06,5.29
125.08,45.52,4.06,5.29
124.87,47.18,3.98,5.52
124.45,46.87,4.05,5.64
128.9,47.73,3.75,3.88
129.28,47.13,3.75,4.13
128.82,47.85,3.75,3.88
129.28,47.48,3.75,4.13
128.65,47.72,3.75,3.88
129.53,48.28,3.68,3.76
129.13,47.63,3.75,4.13
129.43,47.42,3.75,4.13
129.25,48.12,3.68,3.76
128.78,47.72,3.75,3.88
129.57,48.45,3.68,3.76
129.02,47.02,3.75,4.13
129.42,48.6,3.68,3.76
129.38,48.23,3.68,3.76
129.02,47.97,3.75,4.13
130.38,48.88,3.64,3.64
128.02,46.98,3.79,4.39
130.37,46.82,3.81,5.11
130.28,47.33,3.71,4.13
130.33,46.8,3.81,5.11
130.37,46.82,3.81,5.11
130.4,46.82,3.81,5.11
130.32,46.8,3.81,5.11
130.57,46.23,3.81,5.11
130.72,47.02,3.71,4.13
129.9,46.73,3.79,5.1
134.28,48.37,3.62,3.64
132.52,47.65,3.74,3.63
132.03,47.25,3.74,3.63
130.95,45.78,3.84,5.21
130.83,45.8,3.84,5.21
130.97,45.77,3.84,5.21
131.07,45.77,3.84,4.56
130.57,45.75,3.84,5.21
129.6,44.58,3.85,4.36
129.62,44.58,3.85,4.36
129.63,44.6,3.85,4.36
129.58,44.58,3.85,4.36
129.62,44.57,3.85,4.36
131.12,44.07,3.88,4.34
130.27,45.3,3.84,5.21
131.15,44.42,3.88,4.34
129.38,44.57,3.85,4.36
129.47,44.35,3.85,4.36
130.52,44.92,3.89,4.45
127.48,50.25,3.64,5.53
127.48,50.25,3.64,5.53
128.47,49.58,3.67,4.76
127.32,49.42,3.68,5.52
126.52,48.23,3.75,4.68
126.2,48.52,3.75,4.68
126.98,46.63,3.94,4.51
126.98,46.63,3.94,4.51
126.48,46.83,3.94,4.51
126.28,46.27,3.94,4.51
126.1,46.68,3.94,4.51
127.52,46.88,3.94,3.68
125.9,47.18,3.98,5.39
127.1,47.25,3.87,3.64
125.33,46.4,4.05,5.34
125.98,46.07,4.05,5.34
126.97,47.47,3.87,4.51
124.12,50.42,3.64,3.8
126.65,51.73,3.61,4.14
